State,Region,Disease,SNPHits_Pest,Incidence,Prevalence
Alabama,Southeast,Alzheimer's Disease,55.1724349157734,183.651297284712,1389.06505723321
Alabama,Southeast,Multiple Sclerosis,31.0751612903226,2.56894680439416,103.561954426802
Alabama,Southeast,Parkinson Disease,40.0781779008926,45.1086880861181,157.216033851898
Arizona,Southwest,Alzheimer's Disease,62.4974076474401,191.041043990159,1383.15767569293
Arizona,Southwest,Multiple Sclerosis,34.371990505256,3.10164204097261,118.899274501885
Arizona,Southwest,Parkinson Disease,44.6273875040466,49.0379557829478,188.740329348325
Arkansas,Southeast,Alzheimer's Disease,50.4373514431239,192.93033068765,1406.33386592482
Arkansas,Southeast,Multiple Sclerosis,29.6875901875902,2.50431759472485,95.4348689899128
Arkansas,Southeast,Parkinson Disease,37.6223967224309,39.7051937086139,135.336189632865
California,West,Alzheimer's Disease,56.2604298356511,170.890843957619,1209.88363516809
California,West,Multiple Sclerosis,32.6679321125503,2.60084290609488,92.2794762860933
California,West,Parkinson Disease,40.9141955835962,42.6570787640437,176.147353196413
Colorado,West,Alzheimer's Disease,58.1806563039724,178.108974484281,1289.53791677092
Colorado,West,Multiple Sclerosis,31.7451051486585,4.43331667508891,170.290931995203
Colorado,West,Parkinson Disease,41.1836451836452,45.6667030769096,179.914550146534
Connecticut,Northeast,Alzheimer's Disease,63.8016494845361,242.579338794861,1808.95144112275
Connecticut,Northeast,Multiple Sclerosis,35.8395328719723,3.8034519095293,165.742248032351
Connecticut,Northeast,Parkinson Disease,45.9331383201003,49.0449515483868,206.389320805036
Delaware,Northeast,Alzheimer's Disease,63.2810094097519,205.001080271807,1498.30846166423
Delaware,Northeast,Multiple Sclerosis,34.0952168082253,3.46445715634636,145.54817303248
Delaware,Northeast,Parkinson Disease,45.2198460222412,44.7227098554877,163.98365002737
Florida,Southeast,Alzheimer's Disease,58.7868383404864,256.464817963793,1902.91733544823
Florida,Southeast,Multiple Sclerosis,32.5244818263743,2.47857251121869,109.60009967049
Florida,Southeast,Parkinson Disease,42.3171780900488,56.8970878076551,227.905106035488
Georgia,Southeast,Alzheimer's Disease,55.8775172413793,149.213338507527,1099.74641009135
Georgia,Southeast,Multiple Sclerosis,31.6900958466454,2.72550297609724,102.616478193857
Georgia,Southeast,Parkinson Disease,40.3923034330011,38.716381514299,137.57416214212
Idaho,West,Alzheimer's Disease,59.2903625658506,166.654811662179,1221.45261046928
Idaho,West,Multiple Sclerosis,33.4499507712504,4.36765989078352,160.64010333069
Idaho,West,Parkinson Disease,41.8680361033302,46.9131736738209,176.048310073426
Illinois,Midwest,Alzheimer's Disease,56.8172043010753,194.525388477769,1416.30802292335
Illinois,Midwest,Multiple Sclerosis,32.6544574982723,3.36281776135228,126.779997782658
Illinois,Midwest,Parkinson Disease,40.4817232375979,43.9804117819143,172.003919516365
Indiana,Midwest,Alzheimer's Disease,57.1525779376499,214.833204188008,1640.36485485092
Indiana,Midwest,Multiple Sclerosis,32.7071315372425,3.25411021923213,122.015740064721
Indiana,Midwest,Parkinson Disease,41.1939083232811,49.374029292763,192.91331239643
Iowa,Midwest,Alzheimer's Disease,55.8629247804506,204.903898403608,1405.84058403825
Iowa,Midwest,Multiple Sclerosis,32.1751412429379,3.15516534856936,118.540884196405
Iowa,Midwest,Parkinson Disease,39.668449197861,46.5931187579085,183.686630188201
Kansas,Midwest,Alzheimer's Disease,54.2994868035191,199.60968859069,1469.48113219243
Kansas,Midwest,Multiple Sclerosis,30.5569718037853,3.28441410018523,119.682952556173
Kansas,Midwest,Parkinson Disease,38.8321087435709,51.2259825295311,208.101747504703
Kentucky,Southeast,Alzheimer's Disease,57.6430429128739,202.404492728947,1516.51883977495
Kentucky,Southeast,Multiple Sclerosis,32.6828679765598,2.95604387978677,119.968948431635
Kentucky,Southeast,Parkinson Disease,41.000653381248,50.3432212129509,188.373725234362
Louisiana,Southeast,Alzheimer's Disease,49.4321258690084,194.612803801738,1488.53285357638
Louisiana,Southeast,Multiple Sclerosis,29.2431281455672,2.2766345884621,86.1513344730687
Louisiana,Southeast,Parkinson Disease,37.2497237569061,46.7014451667871,175.107109521553
Maine,Northeast,Alzheimer's Disease,63.333850129199,254.150005046145,1883.53602751439
Maine,Northeast,Multiple Sclerosis,35.3821138211382,3.6221216306249,164.882861289634
Maine,Northeast,Parkinson Disease,46.2100313479624,68.4895294407783,276.904965714614
Maryland,Northeast,Alzheimer's Disease,57.8913657770801,202.47957256285,1540.06864073941
Maryland,Northeast,Multiple Sclerosis,32.3699536730642,3.47711656822518,135.474778196827
Maryland,Northeast,Parkinson Disease,41.2060031595577,44.883789927729,175.803669970612
Massachusetts,Northeast,Alzheimer's Disease,64.2549335481273,237.057759217269,1775.8541035194
Massachusetts,Northeast,Multiple Sclerosis,35.9626960576516,3.99874986511203,158.197105214185
Massachusetts,Northeast,Parkinson Disease,46.4020408163265,50.7856764272573,209.854766051344
Michigan,Midwest,Alzheimer's Disease,57.403772472738,233.085800008891,1787.50578490159
Michigan,Midwest,Multiple Sclerosis,32.4499072356215,4.0497415166024,164.604201573863
Michigan,Midwest,Parkinson Disease,41.4755120213713,52.9991930086051,206.560214960874
Minnesota,Midwest,Alzheimer's Disease,55.5255829015544,191.305688318083,1420.59326101927
Minnesota,Midwest,Multiple Sclerosis,31.9776632302406,3.78138016519678,143.405887965433
Minnesota,Midwest,Parkinson Disease,39.2454604409857,45.8207609871214,183.284231418775
Mississippi,Southeast,Alzheimer's Disease,51.761872909699,169.385610622705,1236.36904915091
Mississippi,Southeast,Multiple Sclerosis,29.8441926345609,2.08189449280306,76.5552283992881
Mississippi,Southeast,Parkinson Disease,38.7585743106927,38.2607176036952,125.269319531662
Missouri,Midwest,Alzheimer's Disease,52.9763967732298,222.562573344265,1670.79941311553
Missouri,Midwest,Multiple Sclerosis,31.2883083784645,3.30878578302412,130.585092387579
Missouri,Midwest,Parkinson Disease,38.8111510791367,54.1386108914922,217.789504291363
Montana,West,Alzheimer's Disease,55.1117647058824,226.020560147788,1630.52616702313
Montana,West,Multiple Sclerosis,31.3776397515528,4.54811617284947,184.338465418355
Montana,West,Parkinson Disease,39.181068342498,54.1639651610159,201.108197772322
Nebraska,Midwest,Alzheimer's Disease,58.1681148469966,196.090972557107,1436.4984976957
Nebraska,Midwest,Multiple Sclerosis,31.3592156862745,3.85416758491753,141.164685288367
Nebraska,Midwest,Parkinson Disease,40.8348382242287,39.6195704473452,150.544389361403
Nevada,West,Alzheimer's Disease,60.6206311503224,138.112964584795,977.427242714465
Nevada,West,Multiple Sclerosis,34.029528267915,3.71626374048273,139.702696479683
Nevada,West,Parkinson Disease,41.9717878993882,42.4360341702031,150.98461046691
New Hampshire,Northeast,Alzheimer's Disease,65.2686158063043,230.593101614132,1709.58248353359
New Hampshire,Northeast,Multiple Sclerosis,36.6477382098171,3.87485410247806,173.412467837696
New Hampshire,Northeast,Parkinson Disease,46.9272474513438,56.2778037994777,220.098634012693
New Jersey,Northeast,Alzheimer's Disease,60.6882249560633,211.942200507771,1551.39029609126
New Jersey,Northeast,Multiple Sclerosis,34.412987012987,3.28189398245924,135.141932580486
New Jersey,Northeast,Parkinson Disease,43.9921958141185,46.8159487019193,192.849516398335
New Mexico,Southwest,Alzheimer's Disease,55.5536085536086,205.662049525738,1481.98151579545
New Mexico,Southwest,Multiple Sclerosis,31.714419768533,3.01079884881167,116.875394709982
New Mexico,Southwest,Parkinson Disease,40.05694692904,47.0147227836178,168.351363536669
New York,Northeast,Alzheimer's Disease,60.8350447167936,225.444833621701,1670.76188227628
New York,Northeast,Multiple Sclerosis,34.2369618480924,3.75119215931432,152.421905467364
New York,Northeast,Parkinson Disease,43.8613894455578,50.5351447894684,213.888286523291
North Carolina,Southeast,Alzheimer's Disease,55.5915296740039,181.133259107328,1318.74113841672
North Carolina,Southeast,Multiple Sclerosis,31.6880517951736,3.02481156645244,120.444627612992
North Carolina,Southeast,Parkinson Disease,40.2898062342039,45.3186915842446,167.277627621189
North Dakota,Midwest,Alzheimer's Disease,53.7393084622384,243.98553993377,1831.89797416004
North Dakota,Midwest,Multiple Sclerosis,31.0406309751434,4.14230958394942,148.997646106916
North Dakota,Midwest,Parkinson Disease,39.0910746812386,46.3377523014818,185.345475043528
Ohio,Midwest,Alzheimer's Disease,56.6957649092481,232.944539848321,1765.74700710752
Ohio,Midwest,Multiple Sclerosis,32.8244437671442,3.61073632441671,144.657987137699
Ohio,Midwest,Parkinson Disease,40.7173410404624,52.5493762590309,203.814039972354
Oklahoma,Southwest,Alzheimer's Disease,52.0446428571429,198.019126217243,1465.00391026505
Oklahoma,Southwest,Multiple Sclerosis,29.9349705984089,2.6316694725895,94.7401526740191
Oklahoma,Southwest,Parkinson Disease,38.2394039735099,45.1695065135932,160.98991485369
Oregon,West,Alzheimer's Disease,58.1408569028283,205.851029637481,1503.89968167694
Oregon,West,Multiple Sclerosis,33.0171141929773,3.98668055570305,156.093882689611
Oregon,West,Parkinson Disease,41.7697497891482,50.1947393596782,186.984991126826
Pennsylvania,Northeast,Alzheimer's Disease,58.2454927884615,244.557059730533,1811.55327706982
Pennsylvania,Northeast,Multiple Sclerosis,32.9405439595193,3.82373111962932,160.069154132544
Pennsylvania,Northeast,Parkinson Disease,42.333836858006,54.8118599605218,220.332992807956
Rhode Island,Northeast,Alzheimer's Disease,66.3952038369305,255.475970846781,1935.31252831537
Rhode Island,Northeast,Multiple Sclerosis,36.7145728643216,4.72786610036684,194.324215924951
Rhode Island,Northeast,Parkinson Disease,47.497582205029,48.4082674370117,191.861127302062
South Carolina,Southeast,Alzheimer's Disease,56.6345011876485,189.565708062693,1382.19257849726
South Carolina,Southeast,Multiple Sclerosis,31.7525031289111,2.75116321058522,110.759654020835
South Carolina,Southeast,Parkinson Disease,40.9808612440191,46.8225636489553,167.30486066352
South Dakota,Midwest,Alzheimer's Disease,55.2954743255004,195.473008341809,1372.57852137616
South Dakota,Midwest,Multiple Sclerosis,31.0806378132118,3.9021813727345,147.803429144902
South Dakota,Midwest,Parkinson Disease,39.6734693877551,41.7436666163086,167.813601381659
Tennessee,Southeast,Alzheimer's Disease,54.780946948089,195.099507502469,1453.85438183995
Tennessee,Southeast,Multiple Sclerosis,31.6033333333333,2.89071157709392,115.19718362145
Tennessee,Southeast,Parkinson Disease,39.8345303073829,44.5346294747352,160.546537812451
Texas,Southwest,Alzheimer's Disease,53.6906092789268,164.678279180272,1237.189887684
Texas,Southwest,Multiple Sclerosis,30.7181818181818,2.4198645723701,86.4050293947688
Texas,Southwest,Parkinson Disease,39.4204927211646,39.9441937092265,155.616632513869
Utah,West,Alzheimer's Disease,59.2163621262459,100.01967729575,709.387167355901
Utah,West,Multiple Sclerosis,33.1062335381914,5.35515895682654,168.19507999845
Utah,West,Parkinson Disease,41.4843815077051,31.6411409125155,115.854495857215
Vermont,Northeast,Alzheimer's Disease,64.5234207133649,229.170088152368,1649.0958061531
Vermont,Northeast,Multiple Sclerosis,36.3598536808413,3.78979775344571,165.813112458995
Vermont,Northeast,Parkinson Disease,46.4069716775599,63.6610654260619,253.565179057316
Virginia,Southeast,Alzheimer's Disease,55.0764840182649,186.533443133339,1380.27367930327
Virginia,Southeast,Multiple Sclerosis,31.5444947209653,3.36797909348352,131.870839619281
Virginia,Southeast,Parkinson Disease,39.7293103448276,43.0015602496667,166.185561493888
Washington,West,Alzheimer's Disease,58.3935185185185,177.546327658036,1270.29075890444
Washington,West,Multiple Sclerosis,32.9418569254186,4.22376187673366,160.942139550298
Washington,West,Parkinson Disease,41.668509895227,48.5559287507574,189.552394196512
West Virginia,Southeast,Alzheimer's Disease,58.0416811392845,246.397293208741,1868.78708907877
West Virginia,Southeast,Multiple Sclerosis,32.9996335654086,2.89731997929232,124.843511589192
West Virginia,Southeast,Parkinson Disease,41.975464423414,59.9114741584512,223.992918967123
Wisconsin,Midwest,Alzheimer's Disease,57.7320830542532,207.485906784764,1504.62890393489
Wisconsin,Midwest,Multiple Sclerosis,33.0797740910695,3.98368275437535,157.514114203157
Wisconsin,Midwest,Parkinson Disease,41.3171553758005,45.7286623275231,177.236206023257
Wyoming,West,Alzheimer's Disease,59.6258992805755,173.551599018126,1229.19619872237
Wyoming,West,Multiple Sclerosis,32.5950804162725,4.59476158326081,176.010704967762
Wyoming,West,Parkinson Disease,41.4393530997305,43.1262841847604,154.988867761039
